Date,Maximum,Minimum,Average,Departure,HDD,CDD,Precipitation,New Snow,Snow Depth
182,93,67,80,7,0,15,0.52,0,0
183,82,64,73,-0.1,0,8,0.55,0,0
184,79,54,66.5,-6.7,0,2,0,0,0
185,76,56,66,-7.3,0,1,0.11,0,0
186,88,60,74,0.6,0,9,0,0,0
187,M,M,M,M,M,M,M,0,0
188,M,M,M,M,M,M,M,0,0
189,93,68,80.5,6.8,0,16,0,0,0
190,M,54,M,M,M,M,0.05,0,0
191,87,59,73,-0.8,0,8,T,0,0
192,82,59,70.5,-3.4,0,6,0.08,0,0
193,M,M,M,M,M,M,S,0,0
194,91,63,77,3,0,12,0.33A,0,0
195,93,67,80,6,0,15,0,0,0
196,M,M,M,M,M,M,M,0,0
197,93,64,78.5,4.5,0,14,0,0,0
198,93,65,79,5,0,14,0,0,0
199,91,66,78.5,4.4,0,14,0.05,0,0
200,81,60,70.5,-3.6,0,6,0,0,0
201,88,59,73.5,-0.6,0,9,0,0,0
202,88,60,74,0,0,9,0,0,0
203,87,57,72,-2,0,7,0,0,0
204,M,M,M,M,M,M,M,0,0
205,M,M,M,M,M,M,M,0,0
206,M,M,M,M,M,M,M,0,0
207,90,54,72,-1.9,0,7,0,0,0
208,M,M,M,M,M,M,M,0,0
209,93,60,76.5,2.6,0,12,0,0,0
210,90,60,75,1.1,0,10,T,0,0
211,90,60,75,1.2,0,10,0.42,0,0
212,85,57,71,-2.8,0,6,0,0,0
